# Pfam/GO/ENZYME facts behind pfam_predicates.tsv (generated).
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# accession	name	description	go_anchors	enzymes
PF26519	BsaP	Biotin synthase auxiliary protein family		biotin synthase=2.8.1.6
PF26520	MftB_chaperone	Peptide chaperone MftB family		
PF26521	MAFA_adhesin	MafA glycolipid-binding adhesin		
PF26525	DUF8174	Domain of unknown function (DUF8174)		
PF26526	DUF8175	Domain of unknown function (DUF8175)		
PF26527	DUF8176	Domain of unknown function (DUF8176)		
PF26538	DUF8177	Domain of unknown function (DUF8177)		
PF26546	DUF8178	Family of unknown function (DUF8178)		
PF26548	DUF8179	Putative peptidyl-prolyl cis-trans isomerase domain		peptidyl-prolyl cis-trans isomerase=5.2.1.8
PF26549	Tricorn_N	Tricorn protease N-terminal beta propeller domain		
PF26550	Tricorn_2nd	Tricorn protease second beta propeller domain		
PF26551	DUF8180	Domain of unknown function (DUF8180)		
PF26552	DUF8181	Family of unknown function (DUF8181)		
PF26554	DUF8182	Domain of unknown function (DUF8182)		
PF26555	HTH_78	Domain of unknown function		
PF26556	DUF8183	Domain of unknown function (DUF8183)		
PF26558	DHQS_2nd	3-dehydroquinate synthase II C-terminal domain		3-dehydroquinate synthase=4.2.3.4;3-dehydroquinate synthase ii=1.4.1.24
PF26559	DUF8184	Family of unknown function (DUF8184)		
PF26560	UFSP2_MPN_insect	Insect UFM1-specific protease N-terminal MPN-like domain		
PF26572	DUF8185	Domain of unknown function (DUF8185)		
PF26573	TPR_Epg5_2	Epg5-like, TPR repeats		
PF26587	AAA_lid_SMAX1	SMAX1-like, AAA+ ATPase lid domain		
PF26589	DUF8186	Domain of unknown function (DUF8186) N-terminal domain		
PF26590	DUF8186_M	Domain of unknown function (DUF8186) central domain		
PF26591	DUF8186_C	Domain of unknown function (DUF8186) C-terminal domain		
PF26598	DUF8187	Domain of unknown function (DUF8187)		
PF26600	zf-CHCC_shd	Putative CHCC zinc finger		
PF26601	zf-CHCC_ins	Putative CHCC zinc finger		
PF26602	HVO_2718_N	HVO_2718-like N-terminal zinc binding domain		
PF26603	DUF8188	Domain of unknown function (DUF8188)		
PF26607	Beta-prop_PLL	PLL-like beta propeller		
PF26608	DUF8190	Domain of unknown function (DUF8190)		
PF26609	DUF8191	Domain of unknown function (DUF8191)		
PF26612	DUF8192	Domain of unknown function (DUF8192)		
PF26613	DUF8193	Domain of unknown function (DUF8193)		
PF26614	DUF8194	Domain of unknown function (DUF8194)		
PF26615	DUF8195	Domain of unknown function (DUF8195)		
PF26618	DUF8196	Domain of unknown function (DUF8196)		
PF26619	CcmS	Chaperone protein CcmS		
PF26620	DUF8197	Family of unknown function (DUF8197)		
PF26621	DUF8198	Domain of unknown function (DUF8198)		
PF26622	DUF8199	Family of unknown function (DUF8199)		
PF26623	Psb35	Photosystem II assembly protein Psb35		photosystem ii=1.10.3.9
PF26624	DUF8200	Family of unknown function (DUF8200)		
PF26626	DUF8201	Domain of unknown function (DUF8201)		
PF26627	MmpB	Morphogenic membrane protein MmpB		
PF26628	DUF8202	Domain of unknown function (DUF8202)		
PF26629	GT2_TM_C	Glycosyltransferase family 2 C-terminal transmembrane region		
PF26630	DUF8203	Domain of unknown function (DUF8203)		
PF26631	DUF8204	Domain of unknown function (DUF8204)		
PF26632	DUF8205	Domain of unknown function (DUF8205)		
PF26633	DUF8206	Domain of unknown function (DUF8206)		
PF26634	DUF8207	Domain of unknown function (DUF8207)		
PF26635	DUF8208	Domain of unknown function (DUF8208)		
PF26636	DUF8209	Family of unknown function (DUF8209)		
PF26637	DUF8210	Family of unknown function (DUF8210)		
PF26638	DUF8211	Domain of unknown function (DUF8211)		
PF26640	DUF8212	Domain of unknown function (DUF8212)		
PF26641	DUF8213	Domain of unknown function (DUF8213)		
PF26646	DUF8214	Domain of unknown function (DUF8214)		
PF26647	zf_Tbcl_3	Probable treble clef zinc finger		
PF26648	zf_Tbcl_4	Probable treble clef zinc finger		
PF26650	DUF8215	Domain of unknown function (DUF8215)		
PF26651	DUF8216	Family of unknown function (DUF8216)		
PF26652	Zn_ribbon_double	Probable double zinc ribbon domain		
PF26654	DUF8217	Domain of unknown function (DUF8217)		
PF26655	DUF8218	Domain of unknown function (DUF8218)		
PF26656	DUF8219	Domain of unknown function (DUF8219)		
PF26657	KH_13	KH-domain		
PF26659	PH_DUOX	Dual oxidase PH domain		dual oxidase=1.6.3.1
PF26664	zf-BED_2	BED-like zinc finger	GO:0003677,GO:0005488	
PF26665	DUF8220	Domain of unknown function (DUF8220)		
PF26666	DUF8221	Domain of unknown function (DUF8221)		
PF26667	DUF8222	Domain of unknown function (DUF8222)		
PF26668	DUF8223	Domain of unknown function (DUF8223)		
PF26670	DUF1631_C	Protein of unknown function (DUF1631) C-terminal tudor domain		
PF26671	DUF1631_2nd	Protein of unknown function (DUF1631) 2nd domain		
PF26672	DUF1631_3rd	Protein of unknown function (DUF1631) third domain		
PF26674	Prophage_tail_N2	Prophage endopeptidase tail domain		
PF26675	DUF8224	Domain of unknown function (DUF8224)		
PF26676	DUF8225	Domain of unknown function (DUF8225)		
PF26677	DUF8226	Domain of unknown function (DUF8226)		
PF26678	DUF8227	Domain of unknown function (DUF8227)		
PF26679	DUF8228	Domain of unknown function (DUF8228)		
PF26682	DUF8229	Domain of unknown function (DUF8229)		
PF26683	Tyr_recomb_halo_N	Halobacterial tyrosine recombinase N-terminal domain		
PF26684	DUF8230_N	Domain of unknown function (DUF8230) N-terminal domain		
PF26685	DUF8230_C	Domain of unknown function (DUF8230) C-terminal domain		
PF26686	DUF8575	Domain of unknown function (DUF8575)		
PF26687	DUF8231	Family of unknown function (DUF8231)		
PF26692	DUF8232	Domain of unknown function (DUF8232)		
PF26694	DUF8233	Domain of unknown function (DUF8233)		
PF26695	DUF8234	Domain of unknown function (DUF8234)		
PF26696	PTL_trimer	Phage tail like trimerisation region		
PF26698	MspA_staph	Membrane-stabilizing protein A		
PF26699	DUF8235	Domain of unknown function (DUF8235)		
PF26702	TPR_NOC4	Nucleolar complex protein 4-like, TPR repeats		
PF26703	DUF8236	Domain of unknown function (DUF8236)		
PF26704	DUF272_C	Domain of unknown function (DUF272), C-terminal		
PF26706	TPR_DOP1B	DOP1B-like, TPR repeats		
PF26707	DUF8237	Domain of unknown function (DUF8237)		
PF26709	DUF8238	Domain of unknown function (DUF8238)		
PF26711	DUF8239	Domain of unknown function (DUF8239)		
PF26712	DUF8240	Domain of unknown function (DUF8240)		
PF26713	TPR_RPO41_N	RPO41-like, TPR repeats		
PF26714	TPR_XPO6_C	Exportin-6, C-terminal TPR repeats		
PF26715	HEAT_GCN1_2	Stalled ribosome sensor GCN1, HEAT repeats		
PF26716	PIAL1_N	E4 SUMO-protein ligase PIAL1, N-terminal domain		
PF26717	TPR_BPH1	Beige protein homolog 1, TPR repeats		
PF26718	TPR_CUL9	Cullin-9-like, TPR repeats		
PF26719	TPR_Atp25_C	ATPase synthesis protein 25, C-terminal TPR repeats		
PF26720	TPR_Mybbp1a	Myb-binding protein 1A-like, TPR repeats		
PF26721	DUF8241	Domain of unknown function (DUF8241)		
PF26722	TPR_INTS8_2	Integrator complex subunit 8, TPR repeats		
PF26723	HEAT_UNC79_C	UNC79, C-terminal HEAT repeats		
PF26724	TPR_PRD1	PRD1-like, TPR repeats		
PF26725	TPR_INTS8_3	Integrator complex subunit 8, TPR repeats		
PF26727	DUF8242	Domain of unknown function (DUF8242)		
PF26731	DUF8243	Domain of unknown function (DUF8243)		
PF26733	03009_C	Adenylate-forming reductase 03009, C-terminal domain		
PF26736	DUF8244	Family of unknown function (DUF8244)		
PF26739	DUF8245	Domain of unknown function (DUF8245)		
PF26740	DUF8246	Domain of unknown function (DUF8246)		
PF26742	DUF8247	Domain of unknown function (DUF8247)		
PF26743	zf-C2H2_CASZ1	CASZ1-like, zinc finger		
PF26746	DUF8248	Domain of unknown function (DUF8248)		
PF26748	zf-C2H2_Adnp2	Adnp2-like, C2H2-type zinc finger		
PF26754	DUF8249	Domain of unknown function (DUF8249)		
PF26755	PTPRO_N	Receptor-type tyrosine-protein phosphatase O, N-terminal domain		
PF26757	DUF8250	Domain of unknown function (DUF8250)		
PF26761	Acb5	Acb5 phage protein		
PF26767	HEAT_SGR6	SGR6, HEAT repeats		
PF26768	YtrI_N	Sporulation membrane protein YtrI, N-terminal domain		
PF26770	DUF8251	Domain of unknown function (DUF8251)		
PF26771	GVIN1_N	Interferon-induced very large GTPase 1, N-terminal domain		
PF26772	GVIN1_C	Interferon-induced very large GTPase 1, C-terminal domain		
PF26775	HTH_Mok13	Mok13-like, helix-turn-helix domain		
PF26778	HEAT_NCAPD3	Condensin-2 complex subunit D3-like. HEAT repeats		
PF26779	HEAT_NCAPD3_2	Condensin-2 complex subunit D3-like. HEAT repeats		
PF26780	DUF8252	Domain of unknown function (DUF8252)		
PF26781	DUF8253	Domain of unknown function (DUF8253)		
PF26782	DUF8254	Domain of unknown function (DUF8254)		
PF26783	DUF8255	Domain of unknown function (DUF8255)		
PF26784	DUF8256	Domain of unknown function (DUF8256)		
PF26785	DUF8257	Domain of unknown function (DUF8257)		
PF26786	DUF8258	Domain of unknown function (DUF8258)		
PF26787	DUF8259	Domain of unknown function (DUF8259)		
PF26788	DUF8260	Domain of unknown function (DUF8260)		
PF26789	DUF8261	Domain of unknown function (DUF8261)		
PF26790	DUF8262	Domain of unknown function (DUF8262)		
PF26792	DUF8263	Domain of unknown function (DUF8263)		
PF26793	DUF8264	Domain of unknown function (DUF8264)		
PF26795	DUF8265	Domain of unknown function (DUF8265)		
PF26796	DUF8266	Domain of unknown function (DUF8266)		
PF26797	DUF8267	Domain of unknown function (DUF8267)		
PF26799	DUF8268	Domain of unknown function (DUF8268)		
PF26800	DUF8269	Domain of unknown function (DUF8269)		
PF26802	DUF8270	Domain of unknown function (DUF8270)		
PF26805	DUF8553	Domain of unknown function (DUF8553)		
PF26806	Phage_T4_Y04F	Phage T4 y04F-like family		
PF26807	Phage_T7_GP04	Phage T7 gene product 0.4		
PF26808	Phage_P22_gp16	Bacteriophage P22 ejection protein gp16		
PF26809	Phage_T4_gp13	Bacteriophage T4 neck protein gp13		
PF26810	Phage_disruptin	Phage-encoded cationic antimicrobial peptide for lysis		
PF26812	Phage_T4_Y04H	Y04H protein		
PF26813	Gp0_5	Bacteriophage T7 protein 0.5		
PF26814	Gp89	Mycobacteriophage gene 89 protein		
PF26815	Phage_RepB	Phage replication gene B protein family		
PF26816	Mod_ADP_RT	Bacteriophage T4 Mod ADP-ribosyltransferase		adp-ribosyltransferase=2.4.2.30|2.4.2.31|2.4.2.36
PF26817	Mycophage_Gp41	Mycobacteriophage gene 41 protein		
PF26818	Phage_YlcG	Phage YlcG protein		
PF26819	Phage_T4_Y16C	Bacteriophage T4 Y16C protein		
PF26820	Phage_T4_Y00F	Bacteriophage T4 Y00F protein		
PF26821	Phage_T4_Y16F	Bacteriophage T4 Y16F protein		
PF26822	Phage_T5_A2	Phage T5 A2 protein family		
PF26823	T5_Terminase_small	Putative phage T5 terminase, small subunit		
PF26824	Mycophage_gp62	Mycobacteriophage gene 62 protein		
PF26826	Phage_gp51	Mycobacteriophage gene 51 protein		
PF26827	Phage_T4_Y16B	Phage Y16B protein		
PF26828	Phage_gp75	Phage gene 75 protein		
PF26829	ValRS_modifier	Valyl--tRNA ligase modifier family		
PF26830	Phage_T4_gp68	Prohead assembly protein gp68 family		
PF26831	Phage_T4_Spanin	Phage spanin outer lipoprotein subunit		
PF26832	Phage_gp86	Phage gene 86 protein		
PF26833	Phage_Mu_gp6	Phage Mu gene product 6		
PF26834	Phage_T4_Y06J	Phage T4 Y06J protein		
PF26835	Phage_T4_Y04K	Phage T4 Y04K protein		
PF26836	DUF8271	Domain of unknown function (DUF8271)		
PF26837	Phage_T4_Y00H_G	Phage T4 Y00H/Y00G protein family		
PF26838	Phage_T4_Y01E	Phage T4 Y01E protein		
PF26839	DUF8272	Family of unknown function (DUF8272)		
PF26842	DUF8273	Domain of unknown function (DUF8273)		
PF26844	Phage_phiKMV_holin	Phage phiKMV holin family		
PF26845	Phage_phi29_DNA_rep1	Phage phi29 DNA replication protein 1 family	GO:0006260,GO:0016020	
PF26846	Tevenvirinae_ADPRT	Tevenvirinae NAD(+)--arginine ADP-ribosyltransferase family		adp-ribosyltransferase=2.4.2.30|2.4.2.31|2.4.2.36
PF26847	Phage_T5_AP_Endonuclease	Phage T5 Apurinic/Apyrimidinic endonuclease family	GO:0003824,GO:0004518,GO:0004519,GO:0004536,GO:0009058,GO:0019058	endonuclease=3.1.30.2
PF26848	Phage_T5_Nicking_endo	Nicking endonuclease family		endonuclease=3.1.30.2
PF26850	Phage_Cp-1_Terminal	Phage Cp-1 terminal protein family		
PF26851	Phage_T7_0_6	Phage T7 protein 0.6		
PF26852	Phage_decoration	Phage decoration protein family		
PF26853	Phage_ORF29_CC	Phage ORF29 coiled-coil protein		
PF26854	Phage_ORF13_CC	Phage ORF13 coiled-coil protein		
PF26855	Phage_SPO1_gp47	Phage SPO1 gene 47 protein		
PF26856	Phage_SPO1_gp51	Phage SPO1 gene 51 protein		
PF26857	Phage_T7_4_7	Phage T7 protein 4.7		
PF26858	Phage_T7_1_5	Phage T7 protein 1.5		
PF26859	Phage_N_antitermin	Phage N antitermination protein		
PF26860	Phage_T5_RBP5	Phage T5 Receptor-binding protein pb5 family		
PF26861	Phage_T4_IpIII	Phage internal protein III		
PF26862	Phage_T4_Y10B	Phage T4 Y10B protein		
PF26863	Phage_T4_Y04J	Phage T4 Y04J protein		
PF26864	Phage_T4_Y05J	Phage T4 Y05J protein		
PF26865	Phage_T4_Y02C	Phage T4 Y02C protein		
PF26866	Phage_P22_Eai	Phage P22 Eai protein		
PF26867	Phage_Mu_gp18	Phage Mu gene product 18		
PF26868	Phage_P1_RepL	Phage P1 replication protein RepL		
PF26869	Phage_T4_gp2	Phage T4 terminal DNA protecting protein		
PF26870	Phage_T4_Y07D	Phage T4 Y07D protein		
PF26871	Phage_T4_Y04L	Phage T4 Y04L protein		
PF26872	Phage_186_Dhr	Phage 186 Dhr protein		
PF26873	Phage_T4_Y06O	Phage T4 Y06O protein		
PF26874	Phage_T4_IpII	Phage T4 internal protein II		
PF26875	Phage_T4_Y06R	Phage T4 Y06R protein		
PF26876	Phage_T4_Y06P	Phage T4 Y06P protein		
PF26877	Phage_SPbeta_YopN	SPbeta prophage protein YopN		
PF26878	Phage_T4_Y01J	Bacteriophage T4 protein Y01J		
PF26879	Phage_T4_Y07A	Bacteriophage T4 protein Y07A		
PF26880	Phage_T5_dNMPase	Bacteriophage T5 5'-deoxynucleotidase		5'-deoxynucleotidase=3.1.3.89
PF26881	Phage_P1_tail_fiber_R	Bacteriophage P1 tail fiber protein R		
PF26882	Phage_T4_Y11B	Bacteriophage T4 protein Y11B		
PF26883	Phage_T4_Y13G	Bacteriophage T4 protein Y13G		
PF26884	Phage_L5_Gp78	Mycobacterium phage L5 gene 78 protein		
PF26885	Phage_Mu_Gp12	Bacteriophage Mu gene product 12		
PF26886	Phage_T4_Y16H	Bacteriophage T4 protein Y16H		
PF26887	Phage_T4_End_IV	Bacteriophage T4 endonuclease IV		endonuclease=3.1.30.2;endonuclease iv=3.1.21.2;t4 endonuclease iv=3.1.21.9
PF26888	Phage_T4_Y13I	Bacteriophage T4 protein Y13I		
PF26889	Phage_T4_Y16N	Bacteriophage T4 protein Y16N		
PF26890	Phage_HP1_YO09	Haemophilus phage HP1 protein YO09		
PF26891	Phage_N4_Gp1	Bacteriophage N4 gene product 1		
PF26892	Phage_SPbeta_YosX	SPbeta prophage protein YosX		
PF26893	Phage_L5_Gp74	Mycobacterium phage L5 gene 74 protein		
PF26894	Phage_T4_Y07C	Bacteriophage T4 protein Y07C		
PF26895	Phage_T4_Y13C	Bacteriophage T4 protein Y13C		
PF26896	Phage_T4_Y06M	Bacteriophage T4 protein Y06M		
PF26897	Phage_T4_Y04OP	Bacteriophage T4 Y04O/Y04P family		
PF26898	Phage_L5_Gp81	Mycobacterium phage L5 gene 81 protein		
PF26899	Phage_T4_Y05B	Bacteriophage T4 protein Y05B		
PF26900	Phage_lambda_Ea47	Bacteriophage lambda protein ea47		
PF26901	Phage_T4_Y05D	Bacteriophage T4 protein Y05D		
PF26902	Phage_T4_Y12K	Bacteriophage T4 protein Y12K		
PF26903	Phage_P1_Gp16	Bacteriophage P1 gene 16 protein		
PF26904	Phage_T4_Y05Q	Bacteriophage T4 protein Y05Q		
PF26905	Phage_L5_Gp45	Mycobacterium phage L5 gene 45 protein		
PF26906	Phage_T4_Y07E	Bacteriophage T4 protein Y07E		
PF26907	Phage_Bf23_A1	Bacteriophage Bf23 protein A1		
PF26908	Phage_T4_Y05C	Bacteriophage T4 protein Y05C		
PF26909	Phage_T4_Y16K	Bacteriophage T4 protein Y16K		
PF26910	DUF8274	Domain of unknown function (DUF8274)		
PF26911	Phage_T4_Y12I	Bacteriophage T4 protein Y12I		
PF26912	Phage_L54a_excisionase	Staphylococcus phage L54a excisionase		
PF26913	Phage_APSE1_p4	Bacteriophage APSE-1 protein p4		
PF26914	Phage_T4_Y04M	Bacteriophage T4 protein Y04M		
PF26915	Phage_P4_cII	Bacteriophage P4 protein cII		
PF26916	DUF8275	Domain of unknown function (DUF8275)		
PF26917	Phage_APSE1_p49	Bacteriophage APSE-1 protein p49		
PF26919	ABC-like_C	ABC transporter domain-containing protein-like, C-terminal domain		
PF26921	DUF8276	Domain of unknown function (DUF8276)		
PF26922	DUF8277	Domain of unknown function (DUF8277)		
PF26923	DUF8278	Domain of unknown function (DUF8278)		
PF26925	Phage_PM2_Gpl	Pseudoalteromonas phage PM2 protein Gp-l		
PF26926	Phage_T4_rIIB	Bacteriophage T4 protein rIIB		
PF26927	Phage_SPbeta_YorH	SPbeta prophage protein YorH		
PF26928	DUF8279	Domain of unknown function (DUF8279)		
PF26929	DUF8280	Domain of unknown function (DUF8280)		
PF26930	DUF8281	Domain of unknown function (DUF8281)		
PF26931	DUF8282	Domain of unknown function (DUF8282)		
PF26932	DUF8283	Domain of unknown function (DUF8283)		
PF26933	DUF8284	Domain of unknown function (DUF8284)		
PF26934	DUF8285	Domain of unknown function (DUF8285)		
PF26935	DUF8286	Domain of unknown function (DUF8286)		
PF26936	DUF8287	Domain of unknown function (DUF8287)		
PF26937	DUF8288	Domain of unknown function (DUF8288)		
PF26938	DUF8289	Domain of unknown function (DUF8289)		
PF26939	DUF8290	Domain of unknown function (DUF8290)		
PF26940	DUF8291	Domain of unknown function (DUF8291)		
PF26941	DUF8292	Domain of unknown function (DUF8292)		
PF26942	DUF8293	Domain of unknown function (DUF8293)		
PF26943	DUF8294	Domain of unknown function (DUF8294)		
PF26944	Phage_T4_Ac	Bacteriophage T4 protein ac		
PF26945	DUF8295	Domain of unknown function (DUF8295)		
PF26948	DUF8296	Domain of unknown function (DUF8296)		
PF26949	DUF8297	Domain of unknown function (DUF8297)		
PF26950	DUF8298	Domain of unknown function (DUF8298)		
PF26951	DUF8299	Domain of unknown function (DUF8299)		
PF26952	DUF8300	Domain of unknown function (DUF8300)		
PF26953	DUF8301	Domain of unknown function (DUF8301)		
PF26958	tRNA-like_Thioredoxin-liek	tRNA hydrolases-like, Thioredoxin-like domain		
PF26962	DUF8302	Domain of unknown function (DUF8302)		
PF26963	DUF8303	Domain of unknown function (DUF8303)		
PF26964	ELMO_N	ELMO protein N-terminal Ras-binding domain		
PF26966	DUF8304	Domain of unknown function (DUF8304)		
PF26969	DUF8305	Domain of unknown function (DUF8305)		
PF26972	DUF8306	Domain of unknown function (DUF8306)		
PF26974	DUF8307	Domain of unknown function (DUF8307)		
PF26975	DUF8308	Domain of unknown function (DUF8308)		
PF26977	DUF8309	Domain of unknown function (DUF8309)		
PF26979	DUF8310	Domain of unknown function (DUF8310)		
PF26980	DSRM_DCL2	Dicer-like protein 2, dsRNA binding domain		
PF26982	DUF8311	Domain of unknown function (DUF8311)		
PF26983	DUF8312	Domain of unknown function (DUF8312)		
PF26984	Phage_N4_Gp2	Bacteriophage N4 gene product 2		
PF26985	DUF8313	Domain of unknown function (DUF8313)		
PF26986	Cap_depo	Capsule depolymerase		
PF26988	DUF8314	Domain of unknown function (DUF8314)		
PF26989	DUF8315	Domain of unknown function (DUF8315)		
PF26990	DUF8316	Domain of unknown function (DUF8316)		
PF26991	DUF8317	Domain of unknown function (DUF8317)		
PF26992	DUF8318	Domain of unknown function (DUF8318)		
PF26993	DUF8319	Domain of unknown function (DUF8319)		
PF26994	DUF8320	Domain of unknown function (DUF8320)		
PF26995	DUF8321	Domain of unknown function (DUF8321)		
PF26997	DUF8322	Domain of unknown function (DUF8322)		
PF26998	DUF8323	Domain of unknown function (DUF8323)		
PF26999	ABC-2_memb_rel	ABC-2 membrane transporter related		
PF27001	Phage_T4_Y07B	Bacteriophage T4 protein Y07B		
PF27003	DUF8324	Domain of unknown function (DUF8324)		
PF27004	DUF8325	Domain of unknown function (DUF8325)		
PF27005	DUF8326	Domain of unknown function (DUF8326)		
PF27006	DUF8327	Domain of unknown function (DUF8327)		
PF27007	DUF8328	Domain of unknown function (DUF8328)		
